posx,posy,posz,interval
32391,32214,8,100
32392,32214,8,100
32393,32214,8,100
32394,32214,8,100
32395,32214,8,100
32396,32214,8,100
32397,32214,8,100
32398,32214,8,100
32399,32214,8,100
32400,32214,8,100
32401,32214,8,100
32402,32214,8,100
32403,32214,8,100
32404,32214,8,100
32405,32214,8,100
32406,32214,8,100
32407,32214,8,100
32408,32214,8,100
32409,32214,8,100
32410,32214,8,100
32411,32214,8,100
32412,32214,8,100
32413,32214,8,100
32414,32214,8,100
32415,32214,8,100
32416,32214,8,100
32417,32214,8,100
32418,32214,8,100
32419,32214,8,100
32420,32214,8,100
32421,32214,8,100
32421,32215,8,100
32421,32216,8,100
32421,32217,8,100
32421,32218,8,100
32421,32219,8,100
32421,32220,8,100
32421,32221,8,100
32421,32222,8,100
32421,32223,8,100
32421,32224,8,100
32421,32225,8,100
32422,32225,8,100
32423,32225,8,100
32424,32225,8,100
32424,32226,8,100
32424,32227,8,100
32424,32228,8,100
32424,32229,8,100
32424,32230,8,100
32424,32231,8,100
32424,32232,8,100
32424,32233,8,100
32424,32234,8,100
32424,32235,8,100
32424,32236,8,100
32424,32237,8,100
32424,32238,8,100
32424,32239,8,100
32424,32240,8,100
32424,32241,8,100
32424,32242,8,100
32424,32243,8,100
32424,32244,8,100
32424,32245,8,100
32424,32246,8,100
32424,32247,8,100
32424,32248,8,100
32424,32249,8,100
32424,32250,8,100
32424,32251,8,100
32424,32252,8,100
32424,32253,8,100
32424,32254,8,100
32424,32255,8,100
32423,32255,8,100
32422,32255,8,100
32421,32255,8,100
32420,32255,8,100
32419,32255,8,100
32418,32255,8,100
32417,32255,8,100
32416,32255,8,100
32415,32255,8,100
32414,32255,8,100
32413,32255,8,100
32412,32255,8,100
32411,32255,8,100
32410,32255,8,100
32409,32255,8,100
32408,32255,8,100
32407,32255,8,100
32406,32255,8,100
32405,32255,8,100
32404,32255,8,100
32403,32255,8,100
32402,32255,8,100
32401,32255,8,100
32400,32255,8,100
32399,32255,8,100
32398,32255,8,100
32397,32255,8,100
32396,32255,8,100
32395,32255,8,100
32394,32255,8,100
32393,32255,8,100
32392,32255,8,100
32391,32255,8,100
32390,32255,8,100
32389,32255,8,100
32389,32254,8,100
32389,32253,8,100
32389,32252,8,100
32389,32251,8,100
32388,32251,8,100
32387,32251,8,100
32386,32251,8,100
32385,32251,8,100
32384,32251,8,100
32383,32251,8,100
32382,32251,8,100
32381,32251,8,100
32380,32251,8,100
32379,32251,8,100
32378,32251,8,100
32377,32251,8,100
32376,32251,8,100
32375,32251,8,100
32374,32251,8,100
32373,32251,8,100
32372,32251,8,100
32371,32251,8,100
32370,32251,8,100
32369,32251,8,100
32368,32251,8,100
32367,32251,8,100
32367,32250,8,100
32367,32249,8,100
32367,32248,8,100
32367,32247,8,100
32367,32246,8,100
32367,32245,8,100
32367,32244,8,100
32367,32243,8,100
32367,32242,8,100
32367,32241,8,100
32368,32241,8,100
32368,32240,8,100
32368,32239,8,100
32368,32238,8,100
